zipcode,median,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,bb_1955,basement,year,month,condition_type,renovation,view_type,seasons,pay
98108,345000.0,7883603425,2014-05-29,155000.0,3,1,1250,6250,1,0,0,2,7,1030,220,1949,0,47.5292,-122.323,1130,6250,yes,yes,2014,5,bad,no,null,spring,yes
98108,345000.0,7883606725,2014-11-11,174900.0,3,1,1100,6000,1,0,0,2,6,1100,0,1926,0,47.5279,-122.318,960,5880,yes,no,2014,11,bad,no,null,autumn,yes
98112,912500.0,6788200605,2014-12-23,575000.0,3,1,2010,3800,2,0,0,2,7,2010,0,1922,0,47.6408,-122.307,1540,3800,yes,no,2014,12,bad,no,null,winter,yes
98112,912500.0,5015001680,2014-06-11,427000.0,4,1,1860,4736,1,0,0,1,7,1860,0,1901,0,47.6251,-122.3,1800,4000,yes,no,2014,6,bad,no,null,summer,yes
98112,912500.0,9828701745,2015-01-23,480000.0,2,1,710,4800,1,0,0,2,6,710,0,1950,0,47.6212,-122.298,1480,1721,yes,no,2015,1,bad,no,null,winter,yes
98115,564750.0,1868901275,2015-01-27,455000.0,2,1,1430,5000,1,0,0,2,7,1430,0,1925,0,47.6727,-122.299,1450,3750,yes,no,2015,1,bad,no,null,winter,yes
98115,564750.0,6844702290,2014-05-27,400000.0,2,1,1470,6120,1,0,0,2,7,1470,0,1940,0,47.6914,-122.287,1840,6120,yes,no,2014,5,bad,no,null,spring,yes
98115,564750.0,8024200010,2014-10-28,312000.0,2,1,1460,6000,1,0,0,2,7,1260,200,1925,0,47.7009,-122.317,1580,6380,yes,yes,2014,10,bad,no,null,autumn,yes
98115,564750.0,7977201065,2014-11-04,350000.0,3,1,1380,4590,1,0,0,2,7,930,450,1950,0,47.6841,-122.293,1320,4692,yes,yes,2014,11,bad,no,null,autumn,yes
98115,564750.0,3226049267,2015-04-25,289500.0,3,1,1200,5525,1,0,0,2,7,1200,0,1947,0,47.6981,-122.325,1580,7200,yes,no,2015,4,bad,no,null,spring,yes
98116,565500.0,913000340,2015-01-02,252000.0,1,1,680,1638,1,0,4,1,6,680,0,1910,1992,47.5832,-122.399,1010,3621,yes,no,2015,1,bad,yes,excellent,winter,yes
98116,565500.0,6324000090,2015-05-11,210000.0,2,1,990,8140,1,0,0,1,6,990,0,1910,0,47.5828,-122.382,2150,5000,yes,no,2015,5,bad,no,null,spring,yes
98116,565500.0,9274204100,2014-09-10,462500.0,4,1,1540,4500,1,0,0,2,7,1540,0,1905,0,47.587,-122.384,1920,6000,yes,no,2014,9,bad,no,null,autumn,yes
98116,565500.0,9272202260,2014-09-24,130000.0,3,1,1200,7000,2,0,0,1,7,1200,0,1908,0,47.5883,-122.384,3290,6000,yes,no,2014,9,bad,no,null,autumn,yes
98116,565500.0,6371500120,2014-12-24,325000.0,2,1,960,4800,1,0,0,2,6,960,0,1912,0,47.5752,-122.411,1440,4800,yes,no,2014,12,bad,no,null,winter,yes
98117,542500.0,2028700265,2015-01-15,505000.0,2,1,1310,3816,1,0,0,2,7,1110,200,1929,0,47.679,-122.368,1510,3816,yes,yes,2015,1,bad,no,null,winter,yes
98117,542500.0,7518505160,2014-09-25,417000.0,2,1,1190,5100,1,0,0,2,7,1190,0,1928,0,47.6773,-122.382,1920,5100,yes,no,2014,9,bad,no,null,autumn,yes
98117,542500.0,3501100050,2014-12-10,125000.0,3,1,1230,4800,1,0,0,1,6,1230,0,1916,0,47.6941,-122.365,1230,4800,yes,no,2014,12,bad,no,null,winter,yes
98117,542500.0,2922703235,2014-11-19,290000.0,1,1,550,5700,1,0,0,2,6,550,0,1916,0,47.6846,-122.366,1100,4560,yes,no,2014,11,bad,no,null,autumn,yes
98118,366000.0,3812400657,2014-12-04,160000.0,3,1,1200,8360,1,0,0,2,6,1200,0,1948,0,47.5414,-122.281,1570,6823,yes,no,2014,12,bad,no,null,winter,yes
98118,366000.0,7135300026,2014-12-24,160000.0,2,2,1040,4750,1,0,0,2,6,850,190,1950,0,47.5293,-122.272,1350,5000,yes,yes,2014,12,bad,no,null,winter,yes
98118,366000.0,3332000195,2014-09-24,167500.0,3,1,760,3090,1,0,0,2,5,760,0,1903,0,47.5513,-122.275,1020,5356,yes,no,2014,9,bad,no,null,autumn,yes
98118,366000.0,6896300380,2014-10-02,228000.0,0,1,390,5900,1,0,0,2,4,390,0,1953,0,47.526,-122.261,2170,6000,yes,no,2014,10,bad,no,null,autumn,yes
98118,366000.0,2690600005,2014-10-01,162500.0,2,1,760,6141,1,0,0,2,6,760,0,1920,0,47.5469,-122.277,900,4120,yes,no,2014,10,bad,no,null,autumn,yes
98118,366000.0,1604601155,2014-12-08,180000.0,3,1,780,3540,1,0,0,2,6,780,0,1920,0,47.565,-122.291,1260,3540,yes,no,2014,12,bad,no,null,winter,yes
98118,366000.0,4006000401,2014-08-11,140000.0,2,1,900,6400,1,0,0,2,6,900,0,1940,0,47.5287,-122.281,1350,6405,yes,no,2014,8,bad,no,null,summer,yes
98118,366000.0,4154302075,2015-01-16,200000.0,2,1,830,7200,1,0,0,2,6,830,0,1920,0,47.5604,-122.275,1150,6600,yes,no,2015,1,bad,no,null,winter,yes
98118,366000.0,3812400202,2014-11-14,156000.0,2,1,590,6138,1,0,0,2,5,590,0,1947,0,47.545,-122.278,1360,7112,yes,no,2014,11,bad,no,null,autumn,yes
98118,366000.0,4154300505,2014-10-24,315000.0,2,1,780,7200,1,0,0,2,6,780,0,1935,0,47.5609,-122.279,1750,7200,yes,no,2014,10,bad,no,null,autumn,yes
98118,366000.0,2724049185,2015-03-25,175000.0,3,1,1430,4920,1,0,0,2,6,1430,0,1957,0,47.5388,-122.275,1550,5646,no,no,2015,3,bad,no,null,spring,yes
98118,366000.0,4006000281,2014-07-29,227000.0,3,1,2380,12681,1,0,0,1,6,1380,1000,1918,0,47.5294,-122.279,1720,6377,yes,yes,2014,7,bad,no,null,summer,yes
98118,366000.0,3333002450,2014-07-08,165000.0,1,1,850,8050,1,0,0,2,6,850,0,1906,0,47.5427,-122.288,1590,5180,yes,no,2014,7,bad,no,null,summer,yes
98118,366000.0,8072000035,2015-03-26,200000.0,3,1,1200,10703,1,0,0,2,7,1200,0,1918,0,47.5209,-122.28,1380,8068,yes,no,2015,3,bad,no,null,spring,yes
98118,366000.0,3336000230,2015-03-23,230005.0,2,1,1030,6000,1,0,0,2,7,830,200,1951,0,47.5291,-122.268,1770,5000,yes,yes,2015,3,bad,no,null,spring,yes
98122,574000.0,9187200245,2014-12-31,441000.0,4,1,1100,3300,1,0,0,1,7,1100,0,1919,0,47.6033,-122.295,2020,4000,yes,no,2014,12,bad,no,null,winter,yes
98122,574000.0,2572400100,2014-11-05,302000.0,3,1,1600,1950,2,0,0,2,7,1600,0,1906,0,47.6028,-122.312,1310,1138,yes,no,2014,11,bad,no,null,autumn,yes
98122,574000.0,4226900211,2014-10-23,560000.0,4,1,1360,5814,1,0,0,2,6,1360,0,1900,0,47.6038,-122.314,1010,5814,yes,no,2014,10,bad,no,null,autumn,yes
98122,574000.0,9187200095,2014-12-02,432500.0,6,2,3080,5500,2,0,0,1,7,3080,0,1900,0,47.6031,-122.296,1830,5000,yes,no,2014,12,bad,no,null,winter,yes
98125,425000.0,2568300045,2014-06-25,305000.0,6,2,1900,8240,1,0,0,2,7,1200,700,1964,0,47.7037,-122.296,1900,8240,no,yes,2014,6,bad,no,null,summer,yes
98125,425000.0,3935900232,2014-09-29,207000.0,3,1,920,5546,1,0,0,2,6,920,0,1928,0,47.7114,-122.284,1300,5546,yes,no,2014,9,bad,no,null,autumn,yes
98125,425000.0,1454100010,2015-02-02,338500.0,2,1,720,6050,1,0,0,2,5,720,0,1951,0,47.7259,-122.29,1480,7280,yes,no,2015,2,bad,no,null,winter,yes
98126,395750.0,9275200080,2014-11-07,295000.0,3,1,720,7450,1,0,1,1,5,720,0,1924,0,47.584,-122.375,2600,7360,yes,no,2014,11,bad,no,bad,autumn,yes
98126,395750.0,293000180,2015-05-07,370000.0,2,1,910,5525,1,0,0,2,6,910,0,1910,0,47.5322,-122.379,1620,5525,yes,no,2015,5,bad,no,null,spring,yes
98126,395750.0,2853600155,2014-09-15,110000.0,1,1,640,10280,1,0,0,2,5,640,0,1920,0,47.5144,-122.368,1090,9000,yes,no,2014,9,bad,no,null,autumn,yes
98126,395750.0,9284801100,2015-01-05,317000.0,3,1,1060,5750,1,0,0,2,7,1060,0,1981,0,47.5532,-122.372,1060,5750,no,no,2015,1,bad,no,null,winter,yes
98136,489950.0,2349300060,2015-02-12,200000.0,4,2,1920,4822,1,0,0,2,6,920,1000,1914,0,47.5507,-122.381,1120,4822,yes,yes,2015,2,bad,no,null,winter,yes
98136,489950.0,2461900845,2014-09-03,310000.0,1,1,570,6000,1,0,0,2,5,570,0,1918,0,47.5517,-122.385,1530,6000,yes,no,2014,9,bad,no,null,autumn,yes
98136,489950.0,4229900140,2014-10-06,310000.0,2,1,720,5750,1,0,0,2,6,720,0,1943,0,47.5535,-122.393,980,6125,yes,no,2014,10,bad,no,null,autumn,yes
98144,450000.0,1498302774,2014-05-20,271310.0,2,1,870,5340,1,0,0,2,6,870,0,1906,0,47.5849,-122.302,1190,4440,yes,no,2014,5,bad,no,null,spring,yes
98144,450000.0,1498302783,2014-05-19,333000.0,4,2,1580,7800,2,0,0,2,6,1580,0,1906,0,47.5848,-122.302,1190,4440,yes,no,2014,5,bad,no,null,spring,yes
98146,309000.0,723049596,2014-05-09,255000.0,2,1,810,7980,1,0,0,1,6,810,0,1928,0,47.489,-122.337,1440,7980,yes,no,2014,5,bad,no,null,spring,yes
98146,309000.0,623049093,2014-05-22,219900.0,3,1,910,6000,1,0,0,2,6,910,0,1956,0,47.5065,-122.338,1090,6957,no,no,2014,5,bad,no,null,spring,yes
98146,309000.0,8151600610,2014-05-22,235750.0,2,1,740,11250,1,0,0,2,6,740,0,1938,0,47.5036,-122.362,1390,11250,yes,no,2014,5,bad,no,null,spring,yes
98146,309000.0,723049326,2014-12-08,104950.0,2,1,1170,8254,1,0,0,2,6,1170,0,1949,0,47.497,-122.346,1820,8922,yes,no,2014,12,bad,no,null,winter,yes
98146,309000.0,8862000075,2015-02-20,285000.0,2,1,790,6555,1,0,0,2,6,790,0,1956,0,47.5015,-122.35,1440,7601,no,no,2015,2,bad,no,null,winter,yes
98146,309000.0,1823049182,2014-09-15,147400.0,3,2,1080,9225,1,0,0,2,7,1080,0,1955,0,47.4842,-122.346,1410,9840,no,no,2014,9,bad,no,null,autumn,yes
98146,309000.0,6303400460,2015-03-30,197000.0,2,1,770,8636,1,0,0,2,6,770,0,1951,0,47.5075,-122.358,1110,8636,yes,no,2015,3,bad,no,null,spring,yes
98146,309000.0,745000005,2014-08-25,145000.0,1,0,480,9750,1,0,0,2,4,480,0,1948,0,47.4982,-122.362,1550,9924,yes,no,2014,8,bad,no,null,summer,yes
98148,274000.0,9558800030,2014-11-07,255000.0,2,2,1140,8400,1,0,0,2,7,1140,0,1954,0,47.4351,-122.335,1130,9375,yes,no,2014,11,bad,no,null,autumn,yes
98148,274000.0,2023049218,2014-07-16,105500.0,2,1,930,7740,1,0,0,1,5,930,0,1932,0,47.4611,-122.324,1620,8584,yes,no,2014,7,bad,no,null,summer,yes
98148,274000.0,2023049361,2015-03-23,246500.0,2,1,940,6000,1,0,0,2,7,940,0,1954,0,47.4631,-122.329,1890,8547,yes,no,2015,3,bad,no,null,spring,yes
98155,374000.0,4023500990,2014-06-17,260000.0,3,1,1270,20700,1,0,0,2,7,1150,120,1948,0,47.7576,-122.296,1990,15000,yes,yes,2014,6,bad,no,null,summer,yes
98155,374000.0,4022900951,2015-04-02,305000.0,2,1,910,22725,1,0,0,1,6,910,0,1926,0,47.7712,-122.299,2000,14566,yes,no,2015,4,bad,no,null,spring,yes
98166,390000.0,1665400045,2015-04-28,186375.0,3,1,1000,7636,1,0,0,2,7,1000,0,1952,0,47.472,-122.344,1150,7600,yes,no,2015,4,bad,no,null,spring,yes
98166,390000.0,4337000160,2015-01-27,110000.0,2,1,830,7590,1,0,0,2,6,830,0,1943,0,47.4784,-122.335,980,7590,yes,no,2015,1,bad,no,null,winter,yes
98166,390000.0,1900000195,2014-06-30,100000.0,2,1,930,7623,1,0,0,2,6,930,0,1942,0,47.467,-122.349,1300,7641,yes,no,2014,6,bad,no,null,summer,yes
98166,390000.0,1221000395,2014-05-07,250000.0,1,1,1100,4373,1,0,0,2,6,820,280,1947,0,47.4653,-122.338,1100,7500,yes,yes,2014,5,bad,no,null,spring,yes
98166,390000.0,1900000060,2014-11-17,313000.0,3,1,1550,7260,1,0,0,2,6,1550,0,1925,0,47.4693,-122.349,1190,7620,yes,no,2014,11,bad,no,null,autumn,yes
98166,390000.0,1219000120,2015-04-02,340000.0,4,1,1140,13440,1,0,0,2,5,1140,0,1944,0,47.4619,-122.344,1450,7560,yes,no,2015,4,bad,no,null,spring,yes
98168,237000.0,1623049041,2014-05-08,82500.0,2,1,520,22334,1,0,0,2,5,520,0,1951,0,47.4799,-122.296,1572,10570,yes,no,2014,5,bad,no,null,spring,yes
98168,237000.0,40000362,2014-05-06,78000.0,2,1,780,16344,1,0,0,1,5,780,0,1942,0,47.4739,-122.28,1700,10387,yes,no,2014,5,bad,no,null,spring,yes
98168,237000.0,3028200080,2015-03-24,81000.0,2,1,730,9975,1,0,0,1,5,730,0,1943,0,47.4808,-122.315,860,9000,yes,no,2015,3,bad,no,null,spring,yes
98168,237000.0,795000620,2014-09-24,115000.0,3,1,1080,6250,1,0,0,2,5,1080,0,1950,0,47.5045,-122.33,1070,6250,yes,no,2014,9,bad,no,null,autumn,yes
98168,237000.0,2123049086,2014-08-07,210000.0,2,0,840,49658,1,0,0,2,6,840,0,1948,0,47.4727,-122.292,1240,11000,yes,no,2014,8,bad,no,null,summer,yes
98168,237000.0,1670400090,2014-11-24,182000.0,3,1,1160,18055,1,0,0,2,5,1160,0,1950,0,47.4772,-122.269,1340,10324,yes,no,2014,11,bad,no,null,autumn,yes
98178,279000.0,7812800155,2015-03-18,170000.0,3,1,790,6750,1,0,0,2,6,790,0,1944,0,47.4984,-122.24,960,6298,yes,no,2015,3,bad,no,null,spring,yes
98178,279000.0,1180002580,2015-03-19,180000.0,2,1,890,6000,1,0,0,2,6,890,0,1919,0,47.4976,-122.225,1100,6000,yes,no,2015,3,bad,no,null,spring,yes
98198,265000.0,7686205370,2014-11-24,260000.0,4,1,1830,5375,1,0,0,2,7,1060,770,1962,0,47.4169,-122.316,1040,7500,no,yes,2014,11,bad,no,null,autumn,yes
98198,265000.0,7205400180,2014-12-23,235000.0,3,1,1240,18000,1,0,0,2,7,1240,0,1943,0,47.3514,-122.315,1240,18000,yes,no,2014,12,bad,no,null,winter,yes
